age	70
Sex	Male
f.728.0.0	One
f.709.0.0	[1,2]
f.709.0.0	(2,4]
f.709.0.0	(4,100]
f.6141.0.l1	Husband, wife or partner
f.6141.0.l1	Live alone
f.6141.0.l1	0
f.6141.0.l2	Son and/or daughter (include step-children)
f.6141.0.l2	Live alone
f.6141.0.l2	0
f.6141.0.l3	Brother and/or sister
f.6141.0.l3	Live alone
f.6141.0.l3	0
f.6141.0.l4	Mother and/or father
f.6141.0.l4	Live alone
f.6141.0.l4	0
f.6141.0.l5	Grandparent
f.6141.0.l5	Live alone
f.6141.0.l5	0
f.6141.0.l6	Grandchild
f.6141.0.l6	Live alone
f.6141.0.l6	0
f.6141.0.l7	Other related
f.6141.0.l7	Live alone
f.6141.0.l7	0
f.6141.0.l8	Other unrelated
f.6141.0.l8	Live alone
f.6141.0.l8	0
f.1239.0.0	No
f.1249.0.0	I have never smoked
f.2178.0.0	Excellent
f.924.0.0	Slow pace
f.2443.0.0	No
f.2453.0.0	No
f.6150.0.l1	None of the above
f.6150.0.l2	0
f.6150.0.l3	0
f.6150.0.l4	0
f.6150.0.l5	0
f.6145.0.l1	0
f.6145.0.l2	Serious illness, injury or assault to yourself
f.6145.0.l3	Serious illness, injury or assault of a close relative
f.6145.0.l4	Death of a close relative
f.6145.0.l5	Death of a spouse or partner
f.6145.0.l6	Marital separation/divorce
f.6145.0.l7	Financial difficulties
f.6146.0.l1	None of the above
f.6146.0.l2	0
f.6146.0.l3	0
f.6146.0.l4	0
