age	Age
2734	Number of live births
1239	Current tobacco smoking
1249	Past tobacco smoking
2178	Overall health rating
2188	Long-standing illness, disability or infirmity
924	Usual walking pace
2090	Seen doctor (GP) for nerves, anxiety, tension or depression
2453	Cancer diagnosed by doctor
6145	Illness, injury, bereavement, stress in last 2 years
6146	Attendance/disability/mobility allowance
728	Number of vehicles in household
709	Number in household
6141	How are people in household related to participant
2443	Diabetes diagnosed by doctor
6150	Vascular/heart problems diagnosed by doctor
